Item Name,Qty,Price (total) (CAD),Item link,Notes
TFT 4.0inch touch screen,1,19$CAD,https://www.aliexpress.com/item/1005005791515997.html?spm=a2g0o.order_list.order_list_main.28.17a81802OfvK14,
PN532 NFC RFID Wireless Module,1,4.3$CAD,https://www.aliexpress.com/item/1005006441254455.html?spm=a2g0o.order_list.order_list_main.17.17a81802OfvK14,
ESP32-c5-devkitC-1 R8r8,1,$14USD,https://www.digikey.ca/en/products/detail/espressif-systems/esp32-c5-devkitc-1-n8r8/28718162,
Soft Silicone Cable Red Black Car Battery Automotive Wiring,1,4$CAD,https://www.aliexpress.com/item/1005008409314314.html?spm=a2g0o.order_list.order_list_main.34.17a81802OfvK14,
IR Infrared Transmitter Module Ir Digital 38Khz Infrared Receiver Sensor Module For Arduino Electronic Building Block,1,13$CAD,https://www.aliexpress.com/item/1005007728215137.html?spm=a2g0o.order_list.order_list_main.11.17a81802OfvK14,
433Mhz RF transmitter and receiver Module link kit For arduino diy 315MHZ/433MHZ 433.92MHZ wireless,1,6CAD$,https://www.aliexpress.com/item/1005012535614188.html?spm=a2g0o.productlist.main.4.1ec2oamhoamhXx&aem_p4p_detail=202608301820532460965939909270000075057&algo_pvid=b05e49e6-8bac-4de8-8692-f10777770dee&algo_exp_id=b05e49e6-8bac-4de8-8692-f10777770dee-3&pdp_ext_f=%7B%22order%22%3A%2222%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%215.82%215.82%21%21%2127.60%2127.60%21%402101d2e717881392528892782e0fa1%2112000058649384292%21sea%21CA%213501736027%21X%211%210%21n_tag%3A-29911%3Bd%3A4d9c2848%3Bm03_new_user%3A-29895&curPageLogUid=OHcZeK5iOfrT&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012535614188%7C_p_origin_prod%3A&search_p4p_id=202608301820532460965939909270000075057_1,
TP4056,1,2.5CAD$,https://www.aliexpress.com/item/1005007089641829.html?spm=a2g0o.productlist.main.8.bc5958c9aD8Xs6&aem_p4p_detail=202608301822167344407770526970000068839&algo_pvid=dd5ea7ca-512f-42a0-ae04-d7c0977e7f03&algo_exp_id=dd5ea7ca-512f-42a0-ae04-d7c0977e7f03-7&pdp_ext_f=%7B%22order%22%3A%221299%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%212.58%211.99%21%21%2112.25%219.45%21%4021030f8317881393359202983e1011%2112000056406406346%21sea%21CA%213501736027%21X%211%210%21n_tag%3A-29911%3Bd%3A4d9c2848%3Bm03_new_user%3A-29895%3BpisId%3A5000000214438315&curPageLogUid=kfs1Zj108r4D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007089641829%7C_p_origin_prod%3A&search_p4p_id=202608301822167344407770526970000068839_2,
Lithum Battery 1560 mAh,1,15CAD$,https://www.aliexpress.com/item/1005007518119021.html?spm=a2g0o.productlist.main.1.93771Z4T1Z4TaR&algo_pvid=ef1d10b1-c59d-4135-a590-cb5ecd99cebc&algo_exp_id=ef1d10b1-c59d-4135-a590-cb5ecd99cebc-0&pdp_ext_f=%7B%22order%22%3A%2215%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%2119.85%2114.89%21%21%2194.12%2170.60%21%402101e56817881394568848643e10ac%2112000041100886528%21sea%21CA%213501736027%21X%211%210%21n_tag%3A-29911%3Bd%3A4d9c2848%3Bm03_new_user%3A-29895&curPageLogUid=ZbsNOnhd3YQN&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007518119021%7C_p_origin_prod%3A,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Total Price (CAD):,$80CAD,,,
